14652|200812|CPUPLNONSTPZAHLUG14652|20|5|2009-02-13|ga2pirc||||
14653|200812|CPUPLSASVIAACNET14653|21|5|2009-02-13|ga2pirc||||
14673|200806|CPUPLNOSTROZINSEN14673|19|3|2009-02-13|ehwwdre||||
14875|200812|CPUPLASSETMGMT14875|0|5|2009-02-13|ga2pirc||||
14876|200812|CPUPLAUSLANDFILERTRAG14876|1|5|2009-02-13|ga2pirc||||
14877|200812|CPUPLBANKNOTESERVICE14877|2|5|2009-02-13|ga2pirc||||
14878|200812|CPUPLBOCMLISTE14878|3|5|2009-02-13|ga2pirc||||
14879|200812|CPUPLBONDS14879|4|5|2009-02-13|ga2pirc||||
14880|200812|CPUPLBPCISAL14880|5|5|2009-02-13|ga2pirc||||
14881|200812|CPUPLBPFFMPROV14881|6|5|2009-02-13|ga2pirc||||
14882|200812|CPUPLBPFFMZINSEN14882|7|5|2009-02-13|ga2pirc||||
14883|200812|CPUPLEUREXCUSTODY14883|8|5|2009-02-13|ga2pirc||||
14884|200812|CPUPLKONTONUTZEN14884|9|5|2009-02-13|ga2pirc||||
14885|200812|CPUPLZCBSETFLISTE14885|10|5|2009-02-13|ga2pirc||||
14886|200812|CPUPLZCERISKCOST14886|11|5|2009-02-13|ga2pirc||||
14887|200812|CPUPLZCM14887|12|5|2009-02-13|ga2pirc||||
14888|200812|CPUPLZCMPREMETALS14888|13|5|2009-02-13|ga2pirc||||
14889|200812|CPUPLZFIDIRECTCOST14889|14|5|2009-02-13|ga2pirc||||
14890|200812|CPUPLZFIOPRISK14890|15|5|2009-02-13|ga2pirc||||
14891|200812|CPUPLREZI14891|16|5|2009-02-13|ga2pirc||||
14892|200812|CPUPLSTEP2ZAHLUNG14892|18|5|2009-02-13|ga2pirc||||
14893|200812|CPUPLNOSTROZINSEN14893|19|5|2009-02-13|ga2pirc||||
14894|200812|CPUPLNONSTPZAHLUG14894|20|5|2009-02-13|ga2pirc||||
14895|200812|CPUPLSASVIAACNET14895|21|5|2009-02-13|ga2pirc||||
14921|200812|CPUPLASSETMGMT14921|0|5|2009-02-16|ga2pirc||||
14922|200812|CPUPLAUSLANDFILERTRAG14922|1|5|2009-02-16|ga2pirc||||
14923|200812|CPUPLBANKNOTESERVICE14923|2|5|2009-02-16|ga2pirc||||
14924|200812|CPUPLBOCMLISTE14924|3|5|2009-02-16|ga2pirc||||
14925|200812|CPUPLBONDS14925|4|5|2009-02-16|ga2pirc||||
14926|200812|CPUPLBPCISAL14926|5|5|2009-02-16|ga2pirc||||
14927|200812|CPUPLBPFFMPROV14927|6|5|2009-02-16|ga2pirc||||
14928|200812|CPUPLBPFFMZINSEN14928|7|5|2009-02-16|ga2pirc||||
14929|200812|CPUPLEUREXCUSTODY14929|8|5|2009-02-16|ga2pirc||||
